,NCT Number,Title,Interventions,Phases,Official Title
183,NCT02542111,a studi of bortezomib plus gdp in the treatment of refractori and relaps nongcb dlbcl,"['bortezomib', 'gemcitabine', 'dexamethasone', 'cisplatin']",['2'],a phase ii studi of the efficaci and safeti of bortezomib plus gdp in the treatment of refractori and relaps nongcb diffus larg bcell lymphoma
184,NCT00499018,dose dens chemotherapi  rituximab intensifi high dose chemoimmunotherapi with support of peripher autolog stem cell in diffus larg bcell lymphoma,"['rituximab', 'ciclofosfamide', 'doxorubicina', 'vincristina', 'prednisone', 'pegfilgrastim', 'mitoxantrone', 'ara-c', 'lenograstim', 'bcnu', 'vp-16']",['3'],a randomis multicentr phase iii studi for the treatment of young patient with high risk ipi 23 diffus larg bcell lymphoma dose dens chemotherapi  rituximab  intensifi high dose chemoimmunotherapi with support of peripher autolog stem cells
185,NCT01724021,a studi of particip prefer with subcutan versus intraven mabtherarituxan in particip with cd20 diffus larg bcell lymphoma or cd20 follicular nonhodgkin lymphoma grade 1 2 or 3a,"['cyclophosphamide', 'hydroxydaunorubicin', 'oncovin', 'prednisone', 'cyclophosphamide', 'vincristine', 'prednisone', 'bendamustine', 'rituximab']",['3'],a randomized openlabel mutlicentr studi to evalu patient prefer with subcutan administr of rituximab versus intraven rituximab in previous untreat patient with cd20 diffus larg bcell lymphoma or cd20 follicular nonhodgkin lymphoma grade 1 2 or 3a
186,NCT01788189,lenalidomide mtx arac and rituximab in relaps aggress bcell lymphoma,['lenalidomide'],"['1', '2']",lenalidomid in conjunct with methotrexate leucovorin cytarabin and rituximab for the treatment of relaps or refractori cd20posit aggress lymphomas an openlabel multicent phase iii trial
188,NCT01453205,a phase 2 multicenter randomized openlabel studi of medi551 in adult with relaps or refractori diffus larg bcell lymphoma dlbcl,"['medi-551 2 mg', 'rituximab', 'ice', 'dhap', 'medi-551 4 mg']",['2'],a phase 2 random openlabel studi of medi551 in adult with relaps or refractori dlbcl
190,NCT00038571,proteasom inhibitor ps341 relaps or refractori b cell lymphoma previous treat with chemotherapi,['ps341 '],['2'],phase ii studi of proteasom inhibitor ps341 for patient with relaps or refractori b cell lymphoma previous treat with chemotherapi
191,NCT02660710,rituximab plus chop chemotherapi for diffus larg bcell lymphoma,['r-chop'],['2'],lccc 1335 a singlearm phase iii clinic trial of rituximab plus chop chemotherapi for diffus larg bcell lymphoma in malawi
192,NCT00849654,studi of the safeti and toler of pci32765 in patient with recurr b cell lymphoma,['pci-32765'],['1'],phase i doseescal studi of bruton tyrosin kinas btk inhibitor pci32765 in recurr b cell lymphoma
198,NCT01414855,a studi of obinutuzumab ro5072759 ga101 in combin with chop chemotherapi in patient with previous untreat advanc diffus larg bcell lymphoma gather,"['obinutuzumab', 'cyclophosphamide', 'doxorubicin', 'prednisone', 'vincristine']",['2'],a phase ii openlabel multicent studi of efficacy safety and biomark in patient with previous untreat advanc diffus larg bcell lymphoma treat with ga101 ro5072759 in combin with chop chemotherapi
200,NCT02229981,earli phase evalu of abc294640 in patient with refractoryrelaps diffus larg bcell lymphoma or kaposi sarcoma,['abc294640'],"['1', '2']",an earlyphas clinic trial evalu abc294640 in patient with refractoryrelaps diffus larg bcell lymphoma or kaposi sarcoma
201,NCT02570542,impact of cd34 cell dose on progressionfre surviv follow highdos therapi and autolog stem cell transplant for relaps and refractori diffus larg bcell lymphoma dlbcl,"['plerixafor', 'carmustine', 'etoposide', 'cytarabine', 'melphalan']",['2'],a multicent random phase ii studi of the impact of cd34 cell dose on progressionfre surviv follow highdos therapi and autolog stem cell transplant for relaps and refractori diffus larg bcell lymphoma dlbcl
202,NCT00867087,studi evalu inotuzumab ozogamicin cmc544 plus rituximab in diffus larg bcell nonhodgkin lymphoma,"['inotuzumab ozogamicin ', 'rituximab']",['2'],an openlabel singlearm phase 2 studi of inotuzumab ozogamicin plus rituximab in subject with relapsedrefractori cd22posit diffus larg bcell lymphoma elig for autolog stem cell transplant
203,NCT01965119,pilot studi of ruxolitinib in relaps or refractori hodgkin lymphoma and primari mediastin larg bcell lymphoma,['ruxolitinib'],['2'],pilot studi of ruxolitinib in relaps or refractori hodgkin lymphoma and primari mediastin larg bcell lymphoma
204,NCT00338494,dose escal studi of clofarabin in patient with relaps or refractori low grade or intermediategrad bcell lymphoma,['clofarabine'],['1'],dose escal studi of clofarabin in patient with relaps or refractori low grade or intermedgrad bcelltcel lymphoma
205,NCT00216164,rituximab and gemcitabin for patient with relaps or refractori diffus larg bcell lymphoma,"['rituximab', 'gemcitabine']",['2'],phase ii studi of rituximab and gemcitabin in patient with relaps or refractori diffus larg bcell lymphoma hoosier oncolog group lym0364
206,NCT01325701,safeti and efficaci studi of a btk inhibitor in subject with relaps or refractori diffus larg bcell lymphoma,['ibrutinib'],['2'],a multicenter openlabel phase 2 safeti and efficaci studi of the bruton tyrosin kinas btk inhibitor pci32765 in subject with relaps or refractori or de novo diffus larg bcell lymphoma dlbcl
209,NCT01535989,studi of inotuzumab ozogamicin  temsirolimus in patient with relaps or refractori cd22 bcell nhlymphoma,"['inotuzumab ozogamicin', 'temsirolimus']",['1'],a phase i studi of inotuzumab ozogamicin cmc544 in combin with temsirolimus cci779 in patient with relaps or refractori cd22posit bcell non hodgkin lymphoma
210,NCT02219737,ibrutinib and combin chemotherapi in treat patient with relaps or refractori diffus larg bcell lymphoma,"['carboplatin', 'etoposide', 'ibrutinib', 'ifosfamide']",['1'],a phase i studi combin ibrutinib with rituximab ifosfamide carboplatin and etoposid rice in patient with relaps or primari refractori diffus larg bcell lymphoma dlbcl
213,NCT00054665,ps341 alon and ps341 plus epoch chemotherapi to treat nonhodgkin lymphoma,"['ps-341', 'etoposide', 'doxorubicin', 'vincristine', 'cyclophosphamide', 'prednisone', 'filgrastim']",['2'],ps341 and ps341  epoch chemotherapi and molecular profil in relaps or refractori diffus larg bcell lymphoma
214,NCT01854372,rituximabhypercvad rhcvad altern with rituximabmethotrexatecytarabine rmc in newli diagnos patient with diffus larg bcell lymphoma with mycrearrangement,"['r-hcvad', 'r']",['2'],rituximabhypercvad rhcvad altern with rituximabmethotrexatecytarabine rmc in newli diagnos patient with diffus larg bcell lymphoma with mycrearrangement a phase 2 multicenter open label studi ctrc 1153
215,NCT01510184,studi of zevalin versus observ in patient at least 60 yrs old with newli diagnos diffus larg bcell lymphoma in petneg complet remiss after rchop or rchoplik therapi,['zevalin '],['3'],a phase 3 openlabel multicenter random studi of sequenti zevalin ibritumomab tiuxetan versus observ in patient at least 60 year of age with newli diagnos diffus larg bcell lymphoma in petneg complet remiss after rchop or rchoplik therapi
216,NCT01991184,a studi of gdc0853 in patient with resist bcell lymphoma or chronic lymphocyt leukemia,['gdc-0853'],['1'],an openlabel phase i doseescal studi evalu the safeti and toler of gdc0853 in patient with relaps or refractori bcell nonhodgkin lymphoma and chronic lymphocyt leukemia
219,NCT01976585,in situ vaccin for lowgrad lymphoma combin of intratumor flt3l and polyiclc with lowdos radiotherapi,"['rhuflt3l', 'poly-iclc']","['1', '2']",a phase iii studi of intratumor inject of rhuflt3lcdx301 and polyiclc in combin with lowdos radiotherapi in lowgrad bcell lymphoma
221,NCT00799513,trial on lenalidomid given as mainten therapi for relaps diffus larg b cell lymphoma,['lenalidomide'],['2'],a phase ii trial to evalu the safeti and activ of singleag lenalidomid given as mainten therapi after respons to secondlin therapi in patient with relaps dlbcl not elig for highdos chemotherapi and asct
223,NCT01846390,romidepsin gemcitabine dexamethason and cisplatin in the treatment of peripher tcell and diffus larg bcell lymphoma,"['gemcitabine', 'dexamethasone', 'cisplatin', 'romidepsin']",['1'],a phase i studi of romidepsin gemcitabine dexamethason and cisplatin combin therapi in the treatment of peripher tcell and diffus larg bcell lymphoma
224,NCT00386321,yt90 zevalin and combin chemotherapi zchopin treat patient with stage ii stage iii or stage iv diffus larg bcell lymphoma,['yttrium 90 '],['2'],yt90zevalin plus chop zchop
225,NCT01582776,studi of obinutuzumab combin to lenalidomid for the treatment of relapsedrefractori follicular and aggress bcell lymphoma,"['lenalidomide', 'ga101']","['1', '2']",a phase ibii studi of obinutuzumab combin to lenalidomid for the treatment of follicular and relapsedrefractori aggress dlbcl and mcl bcell lymphoma
226,NCT00553943,phase ii studi to evalu the combin of rituximab and depocyte® in the c5r chemotherapi protocol in patient between the age of 18 and 60 year with primari cerebr nonhodgkin lymphoma and system diffus larg bcell lymphoma with neuromening invas at diagnosi,"['rituximab', 'cytarabine']",['2'],prospect multicentr phase ii studi to evalu the combin of rituximab and depocyte® by intrathec inject in the c5r chemotherapi protocol in patient between the age of 18 and 60 year with primari cerebr nonhodgkin lymphoma and system diffus larg bcell lymphoma with neuromening invas at diagnosi
227,NCT01523834,oral panobinostat adult patient dlbcl relapsedrefractori stem cell transfus asct or not elig for asct,['panobinostat'],['2'],a phase ii studi of oral panobinostat in adult patient with diffus larg bcell lymphoma relapsedrefractori after highdos chemotherapi with autolog stem cell transfus asct or not elig for asct
228,NCT00400478,a multicentre random phase iii studi of rituximab as mainten treatment versus observ in patient with aggress bcell lymphoma nhl13,['rituximab'],['3'],a multicentre random phase iii studi of rituximab as mainten treatment versus observ alon in patient with aggress bcell lymphoma nhl13
229,NCT00717925,studi evalu safeti and toler of inotuzumab ozogamicin cmc544 in japanes patient with bcell nonhodgkin lymphoma nhl,['inotuzumab ozogamicin '],['1'],a phase 1 studi of cmc544 administ as a singl agent in subject with bcell nonhodgkin lymphoma
230,NCT02054559,rchop alon vs rchop plus radiotherapi for local cd20 dlbcl,['r-chop'],['3'],random phase iii trial compar rchop alon and rchop plus radiotherapi for local cd20 diffus larg bcell lymphoma dlbcl
233,NCT01679119,treatment of patient with diffus larg b cell lymphoma who are not suitabl for anthracyclin contain chemotherapi,"['cyclophosphamide', 'vincristine', 'prednisolone', 'rituximab', 'inotuzumab ozogamicin', 'gemcitabine']",['2'],a randomis phase ii trial of inotuzumab ozogamicin plus rituximab  cvp iorcvp vs gemcitabin plus rituximab  cvp gemrcvp for the first line treatment of patient with dlbcl who are not suitabl for anthracyclin contain chemotherapi
234,NCT01925612,studi of brentuximab vedotin combin with rchop or rchp in frontlin treatment of patient with diffus larg bcell lymphoma dlbcl,"['brentuximab vedotin', 'rituximab', 'vincristine', 'cyclophosphamide', 'prednisone', 'doxorubicin']",['2'],a phase 2 studi of brentuximab vedotin in combin with standard of care treatment rituximab cyclophosphamide doxorubicin vincristine and prednison rchop or rchp rituximab cyclophosphamide doxorubicin and prednisone as frontlin therapi in patient with diffus larg bcell lymphoma dlbcl
237,NCT01670370,trial of rgemox regimen in previous untreat elder patient with dlbcl,['r-gemox'],['2'],a prospective singlearm openlabel phase 2 studi to evalu efficaci and safeti of rgemox regimen as firstlin treatment in elder patient with diffus larg bcell lymphoma dlbcl
238,NCT01653067,storm temsirolimus rituximab and dhap for relaps and refractori diffus larg bcell lymphoma,"['rituximab', 'temsirolimus', 'dhap', 'intravenous']",['2'],a phase ii trial to evalu the safety feasibl and efficaci of a salvag therapi consist of temsirolimus ad to the standard therapi rdhap for the treatment of patient with relaps or refractori dlbcl  the storm trial
241,NCT01516567,intergroup trial for children or adolesc with primari mediastin larg bcell lymphoma daepochrituximab evalu,"['etoposide', 'doxorubicin', 'vincristine', 'cyclophosphamide', 'rituximab']",['2'],intergroup trial for children or adolesc with bcell nhl or bal evalu of rituximab efficaci and safeti in high risk patient  phase ii trial of daepochrituximab in pmlbl
242,NCT01279902,abbrevi rchop in complet excis stage i or ii dlbcl,"['rituximab', 'chop immunochemotherapy']",['2'],phase 2 studi of abbrevi 3 cycl of rituximab plus chop cyclophosphamide adriamycin vincristine and prednisolone immunochemotherapi in patient with complet excis stage i or ii cd20 diffus larg bcell lymphoma
243,NCT01859819,treatment for advanc bcell lymphoma,"['rituximab', 'it cytarabine']",['2'],reduc burden of oncolog therapi in advanc bcell lymphoma reboot ably in children adolesc and young adult with cd20 matur bcell lymphoma
244,NCT00498914,studi of ym155 in refractori diffus larg bcell lymphoma dlbcl subject,['ym155'],['2'],a phase ii multicenter openlabel studi of ym155 in refractori diffus larg bcell lymphoma dlbcl subject
245,NCT02252146,dose escal studi in patient with relaps or refractori dlbcl and myd88 l265p mutat,['imo-8400'],"['1', '2']",phase iii openlabel multipledose doseescal studi to evalu the safeti and toler of imo8400 in patient with relaps or refractori diffus larg bcell lymphoma and presenc of the myd88 l265p mutat
