"Rank","NCT Number","Title","Acronym","Status","Study Results","Interventions","Phases","Results First Posted","URL"
101,"NCT02412267","Study of Ofatumomab in Combination With ICE-chemotherapy in Patients With Diffuse Large B-cell Lymphoma (DLBCL)","DLBL","Completed","No Results Available","Drug: O-ICE (ofatumumab, Ifosfamide, Carboplatin, Etoposide)","Phase 2","null","https://ClinicalTrials.gov/show/NCT02412267"
102,"NCT02951156","Avelumab In Combination Regimens That Include An Immune Agonist, Epigenetic Modulator, CD20 Antagonist and/or Conventional Chemotherapy in Patients With Relapsed or Refractory Diffuse Large B-cell Lymphoma (R/R DLBCL)","Javelin DLBCL","Recruiting","No Results Available","Biological: Avelumab|Biological: Utomilumab|Biological: Rituximab|Other: Azacitidine|Drug: Bendamustine|Drug: Gemcitabine|Drug: Oxaliplatin","Phase 3","null","https://ClinicalTrials.gov/show/NCT02951156"
103,"NCT01197560","Study of Lenalidomide to Evaluate Safety and Effectiveness in Patients With Diffuse Large B-Cell Lymphoma (DLBCL)",,"Completed","Has Results","Drug: Lenalidomide|Drug: Gemcitabine|Drug: Oxaliplatin|Drug: Rituximab|Drug: Etoposide","Phase 2|Phase 3","August 20, 2014","https://ClinicalTrials.gov/show/NCT01197560"
104,"NCT01054781","Intensified 1st Cycle Rituximab Plus 8th Cycles of R-CHOP Chemotherapy in Patients With Advanced or Bulky CD20+ Diffuse Large B-cell Lymphoma (DLBCL)",,"Completed","No Results Available","Drug: Rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT01054781"
105,"NCT00530179","FDG-PET-Stratified R-DICEP and R-Beam/ASCT For Diffuse Large B-Cell Lymphoma","PET Chop","Unknown status","No Results Available","Procedure: Autologous Blood Stem Transplantation|Drug: R-CHOP (Rituximab, Cyclphosphamide, Etoposide, Cisplatin, Mesna, G-CSF","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00530179"
106,"NCT00776802","GCS-100LE in Combination With Etoposide and Dexamethasone in Relapsed or Refractory Diffuse Large B-Cell Lymphoma","GCS-100LE","Withdrawn","No Results Available","Drug: GCS-100|Drug: Etoposide; Dexamethasone","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT00776802"
107,"NCT02329080","New Combination of Chemoimmunotherapy for Systemic B-cell Lymphoma With Central Nervous System Involvement",,"Recruiting","No Results Available","Drug: Methotrexate|Drug: Rituximab|Drug: Cytarabine|Drug: Thiotepa|Drug: liposomial cytarabine|Drug: Etoposide|Drug: Ifosfamide|Drug: Carmustine|Radiation: whole brain radiotherapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT02329080"
108,"NCT01865058","The Use of PET for the Early Response Evaluation in Patients With Diffuse Large B-cell Lymphoma.",,"Unknown status","No Results Available","","","null","https://ClinicalTrials.gov/show/NCT01865058"
109,"NCT02340936","Clinical Trial to Determinate Dose, Security and Efficacy or Lenalidomide and Rituximab (LR)-ESHAP in Patients With Diffuse Large B-cell Lymphoma",,"Active, not recruiting","No Results Available","Drug: LR-ESHAP (lenalidomide 5 mg)|Drug: LR-ESHAP (lenalidomide 10 mg)|Drug: LR-ESHAP (lenalidomide 15 mg)|Drug: LR-ESHAP (lenalidomide 20 mg)","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02340936"
110,"NCT03589469","Study to Evaluate the Efficacy and Safety of Loncastuximab Tesirine in Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma",,"Recruiting","No Results Available","Drug: Loncastuximab tesirine","Phase 2","null","https://ClinicalTrials.gov/show/NCT03589469"
111,"NCT01164267","Multicenter Phase II Study to Evaluate the Clinical Activity and the Safety Profile of Everolimus in Marginal Zone B-cell Lymphomas (MZL)",,"Completed","No Results Available","Drug: Everolimus","Phase 2","null","https://ClinicalTrials.gov/show/NCT01164267"
112,"NCT02142049","Ibrutinib and Lenalidomide With Dose Adjusted EPOCH-R in Subjects With Relapsed/Refractory Diffuse Large B-cell Lymphoma",,"Unknown status","No Results Available","Drug: Ibrutinib|Drug: Part 1: Dose Level 1","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02142049"
113,"NCT00486759","A Study of Bevacizumab (Avastin) in Combination With Rituximab (MabThera) and CHOP (Cyclophosphamide, Hydroxydaunorubicin [Doxorubicin], Oncovin [Vincristine], Prednisone) Chemotherapy in Patients With Diffuse Large B-cell Lymphoma",,"Terminated","Has Results","Drug: Bevacizumab|Drug: Rituximab|Drug: CHOP|Drug: Placebo","Phase 3","December 31, 2012","https://ClinicalTrials.gov/show/NCT00486759"
114,"NCT01606605","Treatment Resistance Related With Gene Expression Profile of Diffuse Large B-cell Lymphoma",,"Completed","No Results Available","","","null","https://ClinicalTrials.gov/show/NCT01606605"
115,"NCT01481129","Akt Inhibitor MK2206 in Treating Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma",,"Completed","Has Results","Drug: Akt Inhibitor MK2206|Other: Laboratory Biomarker Analysis|Other: Pharmacological Study","Phase 2","April 7, 2017","https://ClinicalTrials.gov/show/NCT01481129"
116,"NCT02780830","AZD2014 Plus Novel Anti-Cancer Agents in Relapsed or Refractory Diffuse Large B-Cell Lymphoma","INHIBITOR","Withdrawn","No Results Available","Drug: AZD2014|Drug: Ibrutinib","Phase 1","null","https://ClinicalTrials.gov/show/NCT02780830"
117,"NCT02926833","A Study Evaluating KTE-C19 in Combination With Atezolizumab in Subjects With Refractory Diffuse Large B-Cell Lymphoma (DLBCL)","ZUMA-6","Recruiting","No Results Available","Biological: axicabtagene ciloleucel|Drug: atezolizumab (anti-PD-L1)","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02926833"
118,"NCT01741792","Clinical Study With Blinatumomab in Patients With Relapsed/Refractory Diffuse Large B-cell Lymphoma (DLBCL)",,"Completed","Has Results","Drug: Blinatumomab","Phase 2","July 27, 2015","https://ClinicalTrials.gov/show/NCT01741792"
119,"NCT01599559","Randomized, Open-label, Two-arms, Phase III Comparative Study Assessing the Role of Involved Mediastinal Radiotherapy After Rituximab Containing Chemotherapy Regimens to Patients With Newly Diagnosed Primary Mediastinal Large B-Cell Lymphoma",,"Recruiting","No Results Available","Other: observation|Radiation: 3D-Conformal Radiotherapy (3D-CRT)","Not Applicable","null","https://ClinicalTrials.gov/show/NCT01599559"
120,"NCT02471911","KPT-330 Plus RICE for Relapsed/Refractory Aggressive B-Cell Lymphoma","KPT-330+RICE","Recruiting","No Results Available","Drug: KPT-330|Drug: Rituximab|Drug: Etoposide|Drug: Carboplatin|Drug: Ifosfamide|Drug: Dexamethasone","Phase 1","null","https://ClinicalTrials.gov/show/NCT02471911"
121,"NCT01186978","Reduced Radiation in Patients With Diffuse Large B-cell Lymphoma","DLBCL","Active, not recruiting","No Results Available","Radiation: Radiation Therapy","Not Applicable","null","https://ClinicalTrials.gov/show/NCT01186978"
122,"NCT02753062","Bendamustine Plus Subcutaneous Rituximab in Patients With Diffuse Large B-cell Lymphoma","PTLD","Recruiting","No Results Available","Drug: bendamustine, rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT02753062"
123,"NCT01481272","Ofatumumab With IVAC Salvage Chemotherapy in Diffuse Large B Cell Lymphoma Patients","PLRG8","Completed","No Results Available","Drug: Ofatumumab|Drug: Etoposide|Drug: Ifosfamid|Drug: Mesna|Drug: Cytarabine|Drug: Methotrexate|Drug: Leukovorin|Drug: Granulocyte-Colony Stimulating Factor","Phase 2","null","https://ClinicalTrials.gov/show/NCT01481272"
124,"NCT01470456","Combination of SAR3419 and Rituximab in Relapsed/Refractory Diffuse Large B-Cell Lymphoma",,"Completed","No Results Available","Drug: SAR3419|Drug: rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT01470456"
125,"NCT01004991","Phase I/II Trial of R-CHOP + Azacytidine in Diffuse Large B Cell Lymphoma",,"Completed","Has Results","Biological: rituximab|Drug: cyclophosphamide|Drug: vincristine|Drug: doxorubicin|Drug: prednisone|Drug: azacytidine","Phase 1|Phase 2","April 10, 2017","https://ClinicalTrials.gov/show/NCT01004991"
126,"NCT02874404","TGR-1202 and Ibrutinib in Treating Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma",,"Active, not recruiting","No Results Available","Drug: Ibrutinib|Other: Laboratory Biomarker Analysis|Drug: PI3K-delta Inhibitor TGR-1202","Phase 2","null","https://ClinicalTrials.gov/show/NCT02874404"
127,"NCT03376958","Treatment of Relapsed /Refractory Diffuse Large B Cell Lymphoma",,"Recruiting","No Results Available","Drug: Apatinib","Phase 4","null","https://ClinicalTrials.gov/show/NCT03376958"
128,"NCT01472887","SAR3419 as Single Agent in Relapsed-Refractory Diffuse Large B-Cell Lymphoma (DLBCL) Patients","STARLYTE","Completed","No Results Available","Drug: SAR3419","Phase 2","null","https://ClinicalTrials.gov/show/NCT01472887"
129,"NCT00169169","Efficacy Study of Rituximab After ASCT in High-Risk Diffuse Large B-Cell Lymphoma",,"Terminated","No Results Available","Drug: ACVBP|Drug: ACE|Drug: rituximab|Procedure: Autologous stem cell transplant","Phase 3","null","https://ClinicalTrials.gov/show/NCT00169169"
130,"NCT00790036","Phase III Study of RAD001 Adjuvant Therapy in Poor Risk Patients With Diffuse Large B-Cell Lymphoma (DLBCL) of RAD001 Versus Matching Placebo After Patients Have Achieved Complete Response With First-line Rituximab-chemotherapy","PILLAR2","Completed","Has Results","Drug: Everolimus|Drug: Everolimus Placebo","Phase 3","July 12, 2017","https://ClinicalTrials.gov/show/NCT00790036"
131,"NCT03023878","Safety and Efficacy of Blinatumomab in Subjects With Newly Diagnosed High-risk Diffuse Large B-Cell Lymphoma",,"Active, not recruiting","No Results Available","Drug: Blinatumomab|Drug: Investigator's Choice Chemotherapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT03023878"
132,"NCT01423539","A Study of Navitoclax in Addition to Bendamustine and Rituximab in Patients With Relapsed Diffuse Large B-Cell Lymphoma (NAVIGATE)",,"Withdrawn","No Results Available","Drug: bendamustine|Drug: navitoclax|Drug: rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT01423539"
133,"NCT00836173","Rituximab, Ifosfamide, Carboplatin, and Etoposide (RICE) Followed by Gallium Nitrate, Rituximab and Dexamethasone (GARD) for Relapsed or Refractory Diffuse Large B-Cell Lymphoma",,"Withdrawn","No Results Available","Drug: RICE|Drug: GaRD Treatment","Phase 2","null","https://ClinicalTrials.gov/show/NCT00836173"
134,"NCT02957019","A Phase I/II Study of the Tumor-targeting Human L19-IL2 Monoclonal Antibody-cytokine Fusion Protein in Combination With Rituximab in Relapsed or Refractory Diffuse Large B-cell Lymphoma (DLBCL)",,"Recruiting","No Results Available","Drug: L19-IL2 - Ph I|Drug: L19-IL2 at RD - Ph II|Drug: Rituximab","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02957019"
135,"NCT01678404","131I-rituximab for Relapsed or Refractory Marginal Zone B-cell Lymphoma",,"Unknown status","No Results Available","Drug: 131I-rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT01678404"
136,"NCT03255096","A Study to Evaluate the Safety, Pharmacokinetics, and Clinical Activity of the Combination of RO6870810 and Venetoclax, With or Without Rituximab, in Participants With Relapsed/Refractory Diffuse Large B-Cell Lymphoma (DLBCL)",,"Recruiting","No Results Available","Drug: RO6870810|Drug: Venetoclax|Drug: Rituximab","Phase 1","null","https://ClinicalTrials.gov/show/NCT03255096"
137,"NCT02112526","ACP-196, a Btk Inhibitor, for Treatment of de Novo Activated B-cell (ABC) Subtype of Diffuse Large B-Cell Lymphoma",,"Unknown status","No Results Available","Drug: ACP-196","Phase 1","null","https://ClinicalTrials.gov/show/NCT02112526"
138,"NCT00869999","Everolimus Plus Rituximab for Relapsed/Refractory Diffuse Large B Cell Lymphoma",,"Completed","Has Results","Drug: Everolimus|Drug: rituximab","Phase 2","October 27, 2014","https://ClinicalTrials.gov/show/NCT00869999"
139,"NCT00978432","Epigenetic Modulation in Relapsed/Refractory Diffuse Large B-Cell Lymphoma (DLBCL)",,"Terminated","Has Results","Drug: RAD001|Drug: LBH589|Drug: Doublet (RAD001 and LBH589)","Phase 2","June 7, 2016","https://ClinicalTrials.gov/show/NCT00978432"
140,"NCT01562990","Phase Ib/II Study of the Efficacy and Safety of the R-CMC544/R-GEMOX Combination in Diffuse Lage B-cell Lymphoma at First or Second Relapse",,"Completed","No Results Available","Drug: Rituximab, CMC544, Gemcitabine and Oxaliplatine","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT01562990"
141,"NCT01502982","Dose Dense Chemotherapy and Rituximab for Young High Risk Diffuse Large B-Cell Lymphoma Patients (CRY-04)","CRY-04","Completed","No Results Available","Drug: R-CHOEP14x6+HD-AraC+HD-Mtx","Phase 2","null","https://ClinicalTrials.gov/show/NCT01502982"
142,"NCT00831597","Bendamustine Combined With Rituximab for Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma","904","Completed","No Results Available","Drug: bendamustine|Drug: rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT00831597"
143,"NCT01066429","DA-EDOCH14-R in Poor-prognosis Diffuse Large B-cell Lymphoma",,"Unknown status","No Results Available","Drug: Dexamethasone and dose-dense immunochemoterapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT01066429"
144,"NCT02530125","Pidilizumab in Treating Patients With Stage III-IV Diffuse Large B-Cell Lymphoma Following First Remission",,"Terminated","Has Results","Other: Laboratory Biomarker Analysis|Biological: Pidilizumab","Phase 2","March 19, 2018","https://ClinicalTrials.gov/show/NCT02530125"
145,"NCT00474188","A Study to Evaluate Lenalidomide Combined With Dexamethasone in Relapsed or Refractory Diffuse Large B-Cell Lymphoma",,"Terminated","Has Results","Drug: CC-5013 (lenalidomide)|Drug: dexamethasone","Phase 2","August 13, 2009","https://ClinicalTrials.gov/show/NCT00474188"
146,"NCT01287741","A Study of Obinutuzumab in Combination With CHOP Chemotherapy Versus Rituximab With CHOP in Participants With CD20-Positive Diffuse Large B-Cell Lymphoma (GOYA)",,"Completed","Has Results","Drug: Rituximab|Drug: Obinutuzumab|Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: Vincristine|Drug: Prednisone","Phase 3","August 17, 2017","https://ClinicalTrials.gov/show/NCT01287741"
147,"NCT02898259","Lenalidomide, Ixazomib, and Rituximab as Front-Line Therapy for High Risk Indolent B-Cell Lymphoma",,"Recruiting","No Results Available","Drug: Ixazomib|Drug: Lenalidomide|Drug: Rituximab","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02898259"
148,"NCT00169143","Study of R-ACVBP Regimen Supported by Pegfilgrastim in High-Risk Diffuse Large B-Cell Lymphoma",,"Completed","No Results Available","Drug: Rituximab + ACVBP regimen plus Pegfilgrastim|Procedure: Autologous stem cell transplant","Phase 2","null","https://ClinicalTrials.gov/show/NCT00169143"
149,"NCT00788606","R-CHOP-B Bevacizumab for Diffuse Large B Cell Lymphoma",,"Terminated","No Results Available","Drug: bevacizumab, Rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT00788606"
150,"NCT02077166","Ibrutinib in Combination With Lenalidomide and Rituximab in Participants With Relapsed or Refractory Diffuse Large B-Cell Lymphoma",,"Active, not recruiting","No Results Available","Drug: Ibrutinib|Drug: Lenalidomide|Drug: Rituximab","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02077166"
151,"NCT00918463","A Study to Evaluate the Safety and Efficacy of Dasatinib (Sprycel) in Subjects With Relapsed or Refractory Diffuse Large B-Cell Lymphoma (DLBCL)",,"Terminated","Has Results","Drug: dasatinib","Phase 2","August 31, 2018","https://ClinicalTrials.gov/show/NCT00918463"
152,"NCT03391466","A Study Evaluating the Efficacy of Axicabtagene Ciloleucel Compared to Standard of Care Therapy in Subjects With Relapsed/Refractory Diffuse Large B Cell Lymphoma","ZUMA-7","Recruiting","No Results Available","Drug: Axicabtagene Ciloleucel|Drug: Platinum-containing salvage chemotherapy (eg, R-ICE) followed by high dose therapy (eg, BEAM) and autologous stem cell transplant in responders.","Phase 3","null","https://ClinicalTrials.gov/show/NCT03391466"
153,"NCT02271945","Safety/Efficacy of MEDI-551 in Combination With Immunomodulating Therapies in Subjects With Aggressive B-cell Lymphomas",,"Completed","Has Results","Drug: MEDI-551 12 mg/kg|Drug: MEDI0680 2.5 mg/kg|Drug: MEDI0680 10 mg/kg","Phase 1|Phase 2","March 12, 2018","https://ClinicalTrials.gov/show/NCT02271945"
154,"NCT00440583","The Response Study of Yt90-Zevalin in Patients With Diffuse Large B-cell Lymphoma After 6 Cycles of CHOP",,"Completed","No Results Available","Drug: chemotherapy followed by Zevalin","Phase 2","null","https://ClinicalTrials.gov/show/NCT00440583"
155,"NCT02670616","Study of Ibrutinib in Combination With Rituximab-CHOP in Epstein-Barr Virus-positive Diffuse Large B-cell Lymphoma",,"Recruiting","No Results Available","Drug: Ibrutinib|Drug: Rituximab|Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: vincristine|Drug: Prednisolone","Phase 2","null","https://ClinicalTrials.gov/show/NCT02670616"
